Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
17/03/1955,Peucelle,visitante,derrota,1,3,Liga de Bahía Blanca,Amistoso 1955,(Bahía Blanca),desconocido,-,-,foto,sin datos,45,90,0,0
20/03/1955,Peucelle,visitante,derrota,3,4,Liga de Bahía Blanca,Amistoso 1955,(Bahía Blanca),desconocido,-,-,foto,sin datos,45,90,0,0
30/04/1955,Peucelle,local,empate,3,3,Vélez Sarsfield,1° fecha del Campeonato 1955,El Palacio,Burfield,"Juan C Marcello; Carlos Scherl y Juan M Filgueiras; Santiago Ardanaz, Víctor Rodríguez y Héctor D'Angelo; Félix Respuela, Vicente Gambardella, Ricardo Infante, Elio Montaño y Juan A Portaluppi.","Germinaro; Iglesias y Allegri; Ovide, Jorge Ruiz y García Fierro; Ernesto Sansone, Norberto Conde, Ferraro, Zubeldía y Manzi.",foto,25 GOL Elio Montaño (HUR)</br>31 GOL Ricardo Infante (HUR)</br>44 GOL Norberto Conde (VSA)</br>73 GOL Norberto Conde (VSA)</br>80 GOL Juan M Filgueiras (HUR) -penal-</br>87 GOL Manzi (VSA),45,90,0,0
08/05/1955,J Alberti,visitante,derrota,2,5,Boca Juniors,2° fecha del Campeonato 1955,La Bombonera,Fuster,"Juan C Marcello; Carlos Scherl y Juan M Filgueiras; Enrique Espejo, Víctor Rodríguez y Héctor D'Angelo; Félix Respuela, Vicente Gambardella, Ricardo Infante, Elio Montaño y Juan A Portaluppi.","Musimessi; Colman y Edwards; Lombardo, Arcos y Pescia; Mario Boyé, Baiocco, Borello, Roselló y Cucchiaroni.",foto,11 GOL Cucchiaroni (BJU)</br>28 GOL Edwards (BJU) -penal-</br>42 GOL Mario Boyé (BJU)</br>44 GOL Juan M Filgueiras (HUR) -penal-</br>56 GOL Borello (BJU)</br>70 GOL Félix Respuela (HUR)</br>72 GOL Cucchiaroni (BJU),45,90,0,0
15/05/1955,J Alberti,local,derrota,1,2,Racing Club,3° fecha del Campeonato 1955,El Palacio,Thurman,"Edgardo Madinabeytia; José Murta y Juan M Filgueiras; Néstor Naya, Víctor Rodríguez y Héctor D'Angelo; Félix Respuela, Vicente Gambardella, Ricardo Infante, Elio Montaño y Juan A Portaluppi.","Rogelio Domínguez; Pedro Dellacha y García Pérez; Giménez, Balay y Sivo; Cupo, Llamil Simes, Antonio Angelillo, A Rodríguez y Cigna.",foto,2 GOL Juan A Portaluppi (HUR)</br>51 GOL Antonio Angelillo (RAC)</br>71 GOL Antonio Angelillo (RAC),45,90,0,0
22/05/1955,J Alberti,visitante,victoria,2,1,Tigre,4° fecha del Campeonato 1955,Caballito,Lynch,"Edgardo Madinabeytia; José Murta y Juan M Filgueiras; Julio Ramírez, Víctor Rodríguez y Héctor D'Angelo; Félix Respuela, Vicente Gambardella, Ricardo Infante, Elio Montaño y Juan A Portaluppi.","Miguel Rugilo; Oscar Gaggino y Bores; Desanzo, Enrique Brunetti y Hidalgo; De Bourgoing, Norberto Méndez, Lacasia, González y Seoane.",foto,31 GOL Elio Montaño (HUR)</br>53 GOL De Bourgoing (TIG)</br>62 GOL González (TIG),45,90,0,0
29/05/1955,J Alberti,local,derrota,2,3,River Plate,5° fecha del Campeonato 1955,El Palacio,Turner,"Edgardo Madinabeytia, Carlos Scherl y Juan M Filgueiras; Santiago Ardanaz, Víctor Rodríguez y Héctor D'Angelo; Félix Respuela, Vicente Gambardella, Ricardo Infante, Elio Montaño y Juan A Portaluppi.","Amadeo Carrizo; Mantegari, Venini y Hernández; Omar Sívori, Néstor Rossi y Tesouro; Santiago Vernazza, Norberto Menéndez, Ángel Labruna y Félix Loustau.",foto,22 GOL Norberto Menéndez (RPL)</br>26 GOL Omar Sívori (RPL)</br>39 GOL Félix Loustau (RPL)</br>42 GOL Elio Montaño (HUR)</br>67 GOL Juan M Filgueiras (HUR),45,90,0,0
05/06/1955,J Alberti,visitante,victoria,2,0,Gimnasia y Esgrima (La Plata),6° fecha del Campeonato 1955,El Bosque (La Plata),Wilbraham,"Edgardo Madinabeytia, Carlos Scherl y Juan M Filgueiras; Santiago Ardanaz, Víctor Rodríguez y Héctor D'Angelo; Félix Respuela, Vicente Gambardella, Ricardo Infante, Elio Montaño y Juan A Portaluppi.","Gerónimo; Ambrosi y Carboni; Schandlein, Cortiñas y Smargiassi; Pentrelli, Papa, Loiácono, Martínez y Barci.",foto,53 GOL Juan A Portaluppi (HUR)</br>70 GOL Juan A Portaluppi (HUR)</br>Huracán gana la Copa Juan D Perón,45,90,0,0
12/06/1955,J Alberti,local,empate,1,1,Newell's Old Boys (Rosario),7° fecha del Campeonato 1955,El Palacio,Meade,"Edgardo Madinabeytia, Carlos Scherl y Juan M Filgueiras; Santiago Ardanaz, Víctor Rodríguez y Héctor D'Angelo; Félix Respuela, Vicente Gambardella, Ricardo Infante, Elio Montaño y Juan A Portaluppi.","Masuelli; Griffa y Coronel; Mastrogiuseppe, Ramacciotti y Miralles; Nardiello, Bellotti, Carranza, Picot y Yudica.",foto,11 GOL Félix Respuela (HUR)</br>47 GOL Héctor D'Angelo (NOB) -en contra-</br>85 EXP Miralles (NOB),45,90,0,0
26/06/1955,J Alberti,local,derrota,2,3,Chacarita Juniors,8° fecha del Campeonato 1955,El Palacio,Cross,"Edgardo Madinabeytia; Carlos Scherl y Juan M Filgueiras; Santiago Ardanaz, Víctor Rodríguez y Héctor D'Angelo; Félix Respuela, Alberto Evaristo, Ricardo Infante, Horacio Onzari y Juan A Portaluppi.","Segundo Díaz; Molinari y Ferrero; Pegnotti, Montero y Moreno; P Rodríguez, Barreiro, Ravelli, Campana y Esquide.",foto,25 GOL Campana (CHJ)</br>27 GOL Campana (CHJ)</br>51 GOL Ricardo Infante (HUR)</br>65 GOL Campana (CHJ)</br>88 GOL Alberto Evaristo (HUR),45,90,0,0
03/07/1955,Pedernera,visitante,victoria,2,0,Ferro C. Oeste,9° fecha del Campeonato 1955,Caballito,Jaoo,"Edgardo Madinabeytia; Carlos Scherl y Juan M Filgueiras; Santiago Ardanaz, Víctor Rodríguez y Héctor D'Angelo; Félix Respuela, Oscar Rossi, Ricardo Infante, Elio Montaño y Juan A Portaluppi.","Marapodi; Pirone y Garansini; Bufatelli, Diez y Cobo; González, Juárez, Calvanese, Berón y Tacchi.",foto,41 GOL Juan A Portaluppi (HUR)</br>67 GOL Elio Montaño (HUR),45,90,0,0
09/07/1955,Pedernera,visitante,victoria,7,3,Liga de Sáenz Peña,Amistoso 1955 (fecha patria),(Sáenz Peña),desconocido,-,-,foto,sin datos,45,90,0,0
10/07/1955,Pedernera,visitante,victoria,6,2,Liga de Villa Ángela,Amistoso 1955 (fecha patria),Liga de Chaco Oeste (Villa Ángela),desconocido,-,-,foto,sin datos,45,90,0,0
24/07/1955,Pedernera,local,victoria,4,0,Lanús,10° fecha del Campeonato 1955,Gasómetro,Lynch,"Edgardo Madinabeytia; Carlos Scherl y Juan M Filgueiras; Santiago Ardanaz, Víctor Rodríguez y Héctor D'Angelo; Félix Respuela, Oscar Rossi, Ricardo Infante, Elio Montaño y Juan A Portaluppi.","Álvarez Vega; Prato y Beltrán; Juan A Bendazzi, Guidi y José Nazionale; Fernández, Daponte, Cejas, Reynoso y Moyano.",foto,26 GOL Víctor Rodríguez (HUR) -penal-</br>44 GOL Juan A Portaluppi (HUR)</br>63 GOL Félix Respuela (HUR)</br>77 GOL Félix Respuela (HUR),45,90,0,0
31/07/1955,Pedernera,visitante,derrota,0,1,Independiente,11° fecha del Campeonato 1955,Doble Visera,Thurman,"Edgardo Madinabeytia; Carlos Scherl y Juan M Filgueiras; Santiago Ardanaz, Víctor Rodríguez y Héctor D'Angelo; Félix Respuela, Oscar Rossi, Ricardo Infante, Elio Montaño y Juan A Portaluppi.","Abraham; Barraza y Mousegne; Britos, J Varacka y E Varacka; Cervino, Cecconato, Bonelli, Grillo y Cruz.",foto,57 GOL Grillo (IND),45,90,0,0
10/08/1955,Pedernera,local,victoria,1,0,Platense,12° fecha del Campeonato 1955,Caballito,Regis Brozzi,"Edgardo Madinabeytia; Carlos Scherl y Juan M Filgueiras; Santiago Ardanaz, Víctor Rodríguez y Héctor D'Angelo; Félix Respuela, Oscar Rossi, Ricardo Infante, Elio Montaño y Oscar Silva.","Domínguez; Doval y Menéndez; Maldonado, Cívico y Molina; Ruggiero, Báez, Beraza, López y Sayago.",foto,87 GOL Ricardo Infante (HUR),45,90,0,0
14/08/1955,Pedernera,visitante,victoria,3,0,Estudiantes (La Plata),13° fecha del Campeonato 1955,Uno (La Plata),Meade,"Edgardo Madinabeytia; Carlos Scherl y Juan M Filgueiras; Santiago Ardanaz, Víctor Rodríguez y Héctor D'Angelo; Félix Respuela, Oscar Rossi, Ricardo Infante, Elio Montaño y Juan A Portaluppi.","Gioffré; Casanueva y Silvero; Garcerón, Urriolabeitia y Mogaburu; Scialino, Quaglia, Rolando, Molina y Manuel Pelegrina.",foto,33 GOL Félix Respuela (HUR)</br>52 EXP Silvero (ELP)</br>52 EXP Héctor D'Angelo (HUR)</br>64 GOL Ricardo Infante (HUR)</br>73 GOL Félix Respuela (HUR),45,90,0,0
17/08/1955,Pedernera,local,victoria,4,1,Rosario Central,14° fecha del Campeonato 1955,Gasómetro,Ventre,"Edgardo Madinabeytia; Carlos Scherl y Juan M Filgueiras; Santiago Ardanaz, Víctor Rodríguez y Omar Rossi; Félix Respuela, Oscar Rossi, Ricardo Infante, Elio Montaño y Oscar Silva.","Américo Tissera; Cuello y Cardoso; Álvarez, Minni y La Rosa; Gauna, Mottura, Massei, Vilariño y Cazaubón.",foto,19 GOL Massei (RCE)</br>37 GOL Víctor Rodríguez (HUR) -penal-</br>49 GOL Félix Respuela (HUR)</br>50 GOL Ricardo Infante (HUR)</br>88 GOL Ricardo Infante (HUR),45,90,0,0
21/08/1955,Pedernera,visitante,empate,0,0,San Lorenzo de Almagro,15° fecha del Campeonato 1955,Gasómetro,Wilbraham,"Edgardo Madinabeytia; Carlos Scherl y Juan M Filgueiras; Santiago Ardanaz, Víctor Rodríguez y Omar Rossi; Félix Respuela, Oscar Rossi, Ricardo Infante, Elio Montaño y Juan A Portaluppi.","Blazina; Martina y Federico Pizarro; Faina, Jorge Benegas y Vivas; Jofré, Coll, Gutiérrez, Benavídez y Florio.",foto,1° Tiempo: San Lorenzo 0x0 Huracán,45,90,0,0
28/08/1955,Pedernera,visitante,derrota,1,2,Vélez Sarsfield,16° fecha del Campeonato 1955,Vélez Sarsfield,Nai Foino,"Edgardo Madinabeytia; Carlos Scherl y Juan M Filgueiras; Santiago Ardanaz, Víctor Rodríguez y Héctor D'Angelo; Félix Respuela, Oscar Rossi, Ricardo Infante, Alberto Evaristo y Juan A Portaluppi.","Germinaro; Simeone y Allegri; Ovide, Jorge Ruiz y García Fierro; Ernesto Sansone, Mosca, Carceo, Manzi y Mendiburu.",foto,49 GOL Mosca (VSA)</br>62 GOL Mediburu (VSA)</br>78 GOL Alberto Evaristo (HUR) -penal-,45,90,0,0
